,item_name,price,menu_section,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Includes (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg)
80,Cheesy Roll Up,1.0,Veggie Cravings,180.0,9.0,6.0,0.0,20.0,430.0,17.0,1.0,1.0,1.0,8.0,0.0,230.0,1.0,60.0
81,Cheesy Fiesta Potatoes,2.59,Veggie Cravings,240.0,13.0,2.0,0.0,5.0,520.0,28.0,3.0,1.0,0.0,3.0,0.0,40.0,0.3,560.0
82,Chips and Nacho Cheese Sauce,2.59,Veggie Cravings,220.0,13.0,1.5,0.0,0.0,280.0,24.0,2.0,1.0,0.0,3.0,0.0,60.0,0.2,290.0
83,Black Beans,1.49,Veggie Cravings,50.0,1.5,0.0,0.0,0.0,140.0,7.0,4.0,0.0,0.0,3.0,0.0,20.0,0.8,150.0
84,Black Beans and Rice,1.49,Veggie Cravings,160.0,4.5,0.0,0.0,0.0,370.0,25.0,5.0,1.0,0.0,4.0,0.0,20.0,1.3,190.0
85,Pintos N Cheese,2.39,Veggie Cravings,170.0,6.0,3.0,0.0,10.0,640.0,20.0,9.0,1.0,1.0,9.0,0.0,130.0,1.7,340.0
86,Cinnamon Twists,1.0,Veggie Cravings,170.0,6.0,0.5,0.0,0.0,115.0,27.0,1.0,10.0,10.0,1.0,0.0,10.0,0.0,20.0
87,Cinnabon Delights® 2 Pack,2.19,Veggie Cravings,170.0,11.0,3.5,0.0,5.0,70.0,15.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,30.0
88,Cinnabon Delights® 12 Pack,6.89,Veggie Cravings,1010.0,68.0,22.0,0.0,40.0,430.0,88.0,5.0,52.0,52.0,11.0,0.0,60.0,0.0,160.0
89,Power Menu Bowl,6.99,Bowls,460.0,21.0,6.0,0.0,70.0,1250.0,41.0,8.0,3.0,0.0,26.0,0.0,160.0,2.0,700.0
90,Power Menu Bowl - Veggie,6.79,Bowls,420.0,20.0,5.0,0.0,20.0,870.0,47.0,11.0,3.0,0.0,12.0,0.0,170.0,2.7,590.0
91,Cheesy Toasted Breakfast Burrito Bacon,1.69,Breakfast,350.0,16.0,5.0,0.0,105.0,880.0,38.0,2.0,3.0,2.0,13.0,0.0,150.0,3.0,270.0
92,Cheesy Toasted Breakfast Burrito Sausage,1.69,Breakfast,350.0,17.0,6.0,0.0,105.0,770.0,38.0,2.0,3.0,2.0,10.0,0.0,150.0,2.9,240.0
93,Cheesy Toasted Breakfast Burrito Potato,1.69,Breakfast,340.0,14.0,3.5,0.0,95.0,770.0,44.0,3.0,3.0,1.0,9.0,0.0,150.0,3.0,350.0
94,Grande Toasted Breakfast Burrito Steak,4.39,Breakfast,570.0,28.0,10.0,0.0,230.0,1370.0,52.0,4.0,4.0,2.0,27.0,0.0,360.0,4.1,520.0
95,Grande Toasted Breakfast Burrito Sausage,3.79,Breakfast,570.0,31.0,12.0,0.0,220.0,1190.0,51.0,4.0,3.0,2.0,21.0,0.0,340.0,3.6,450.0
96,Grande Toasted Breakfast Burrito Bacon,3.79,Breakfast,570.0,30.0,11.0,0.0,220.0,1310.0,52.0,4.0,3.0,2.0,23.0,0.0,340.0,3.7,470.0
97,Breakfast Quesadilla Sausage,3.69,Breakfast,510.0,29.0,15.0,0.0,150.0,1130.0,40.0,3.0,3.0,2.0,23.0,0.0,510.0,2.9,200.0
98,Breakfast Quesadilla Bacon,3.69,Breakfast,510.0,27.0,14.0,0.0,150.0,1250.0,41.0,3.0,3.0,2.0,25.0,0.0,510.0,3.0,230.0
99,Breakfast Quesadilla Steak,3.99,Breakfast,510.0,25.0,14.0,0.0,160.0,1310.0,41.0,3.0,4.0,2.0,28.0,0.0,520.0,3.5,270.0
100,Breakfast California Crunchwrap,3.99,Breakfast,630.0,37.0,12.0,0.0,130.0,1340.0,53.0,5.0,3.0,2.0,21.0,0.0,350.0,3.1,500.0
101,Breakfast Crunchwrap Bacon,3.79,Breakfast,670.0,40.0,13.0,0.0,135.0,1300.0,52.0,4.0,3.0,2.0,21.0,0.0,350.0,3.0,390.0
102,Breakfast Crunchwrap Sausage,3.79,Breakfast,750.0,49.0,16.0,0.0,145.0,1220.0,53.0,4.0,3.0,2.0,21.0,0.0,360.0,3.3,400.0
103,Hash Brown,1.69,Breakfast,160.0,11.0,1.0,0.0,0.0,280.0,14.0,1.0,0.0,0.0,1.0,0.0,10.0,0.0,190.0
104,Cinnabon Delights® 2 Pack,2.19,Breakfast,170.0,11.0,3.5,0.0,5.0,70.0,15.0,1.0,9.0,9.0,2.0,0.0,10.0,0.0,30.0
105,Cinnabon Delights® 12 Pack,6.89,Breakfast,1010.0,68.0,22.0,0.0,40.0,430.0,88.0,5.0,52.0,52.0,11.0,0.0,60.0,0.0,160.0
106,Breakfast Salsa,0.0,Breakfast,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
