,item_name,price,menu_section,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Gluten,Milk,Wheat,Soy,Eggs,Fish,Shellfish,Tree Nuts,Peanuts,MSG,Sesame
34,Black Beans and Rice,$1.49,Sides & Sweets,160,4.5g,0g,0g,0mg,370mg,25g,5g,<1g,0g,4g,0mcg,20mg,1.3mg,190mg,,,,,,,,,,,
35,Pintos N Cheese,$2.39,Sides & Sweets,170,6g,3g,0g,10mg,640mg,20g,9g,1g,<1g,9g,0mcg,130mg,1.7mg,340mg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Strawberry Twists,$1.00,Sides & Sweets,160,6g,0g,0g,0mg,280mg,26g,1g,11g,0g,1g,0mcg,10mg,0.2mg,30mg,,,,,,,,,,,
37,Cinnamon Twists,$1.00,Sides & Sweets,170,6g,0.5g,0g,0mg,115mg,27g,<1g,10g,10g,1g,0mcg,10mg,0mg,20mg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Cinnabon Delights® 2 Pack,$2.19,Sides & Sweets,170,11g,3.5g,0g,5mg,70mg,15g,<1g,9g,9g,2g,0mcg,10mg,0mg,30mg,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Cinnabon Delights® 12 Pack,$6.89,Sides & Sweets,1010,68g,22g,0g,40mg,430mg,88g,5g,52g,52g,11g,0mcg,60mg,0mg,160mg,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Mild Sauce Packet,$0.00,Sides & Sweets,0,0g,0g,0g,0mg,30mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,10mg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Hot Sauce Packet,$0.00,Sides & Sweets,0,0g,0g,0g,0mg,45mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,10mg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Fire Sauce Packet,$0.00,Sides & Sweets,0,0g,0g,0g,0mg,55mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,20mg,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Diablo Sauce Packet,$0.00,Sides & Sweets,0,0g,0g,0g,0mg,35mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,10mg,,,,,,,,,,,
44,Nacho Cheese Sauce,$0.00,Sides & Sweets,60,4g,0g,0g,0mg,210mg,4g,0g,<1g,0g,<1g,0mcg,20mg,0mg,210mg,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Vegan Nacho Sauce,$0.00,Sides & Sweets,45,3g,0.5g,0g,0mg,200mg,4g,0g,0g,0g,0g,0mcg,0mg,0mg,180mg,,,,,,,,,,,
46,Reduced-Fat Sour Cream,$0.70,Sides & Sweets,45,3g,2g,0g,10mg,30mg,3g,0g,1g,0g,<1g,0mcg,30mg,0mg,60mg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Creamy Jalapeño Sauce,$0.60,Sides & Sweets,230,19g,4.5g,0g,10mg,160mg,3g,<1g,1g,<1g,<1g,0mcg,20mg,0.1mg,70mg,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Guacamole,$0.80,Sides & Sweets,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,0g,0mcg,0mg,0mg,0mg,,,,,,,,,,,
49,Chipotle Sauce,$0.50,Sides & Sweets,220,24g,4g,0g,25mg,210mg,<1g,0g,0g,0g,<1g,0mcg,10mg,0.3mg,30mg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Avocado Ranch Sauce,$0.45,Sides & Sweets,240,25g,4g,0g,20mg,270mg,2g,0g,1g,<1g,<1g,0mcg,10mg,0.1mg,60mg,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Spicy Ranch,$0.60,Sides & Sweets,210,23g,3.5g,0g,20mg,190mg,2g,0g,1g,<1g,<1g,0mcg,20mg,0mg,50mg,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Red Sauce,$0.31,Sides & Sweets,15,0g,0g,0g,0mg,350mg,3g,<1g,0g,0g,1g,0mcg,10mg,0.3mg,60mg,,,,,,,,,,,
53,Spicy Potato Soft Taco,$1.10,Cravings Value Menu,240,12g,3g,0g,10mg,480mg,28g,2g,1g,<1g,5g,0mcg,110mg,1.3mg,270mg,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
